k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
28,17,0,2.0,\epsilon17\bar{\kappa}25,,,,0 1 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,1 0 0 0 0 0 0 0 0 0 0 0,\epsilon17\bar{\kappa}25,2.0
28,18,0,8.0,F_{2},,,,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop3.2(2), \ H({F_{2}})\equiv{\zeta_{35}}\mod2{\zeta_{35}}",1 0 0 0 0 0 0 0 0 0 0 0,149,1 0 0 0 0 0 0 0 0 0 0 0,F_{2},8.0
28,18,1,2.0,\epsilon18\bar{\kappa}26,,,,0 0 1 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 1 0 0 0 0 0 0 0 0 0 0,\epsilon18\bar{\kappa}26,2.0
28,19,0,2.0,C_{2}^{(1)},,,,0 0 0 1 0 0 0 0 0 0 0 0,"[O2] Prop3.2(5), \ H({C_{2}^{(1)}})={\eta_{37}}{\mu_{38}}",1 0 0 0 0 0 0 0 0 0 0 0,150,1 0 0 0 0 0 0 0 0 0 0 0,C_{2}^{(1)},2.0
28,19,1,2.0,E F_{2},,,,0 0 0 0 1 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,149,0 1 0 0 0 0 0 0 0 0 0 0,E F_{2},2.0
28,19,2,2.0,\epsilon19\bar{\kappa}27,,,,0 0 0 0 0 1 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 0 1 0 0 0 0 0 0 0 0 0,\epsilon19\bar{\kappa}27,2.0
28,20,0,2.0,A_{2}^{(1)},,,,1 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop3.2(5), \ H({A_{2}^{(1)}})\equiv{\mu_{39}} \mod{\eta_{39}}{\varepsilon_{40}},\eta_{39}^2\sigma_{41}",0 1 0 0 0 0 0 0 0 0 0 0,151,1 0 0 0 0 0 0 0 0 0 0 0,A_{2}^{(1)},2.0
28,20,1,2.0,A_{2}\epsilon40,,,,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop4.2(6), \ H({A_{2}}{\varepsilon_{40}})={\eta_{39}}{\varepsilon_{40}}",0 0 1 0 0 0 0 0 0 0 0 0,141 10,0 1 0 0 0 0 0 0 0 0 0 0,A_{2}\epsilon40,2.0
28,20,2,2.0,A_{2}\eta40\sigma41,,,,0 0 1 0 0 0 0 0 0 0 0 0,"[O2] Prop4.2(6), \ H({A_{2}}{\eta_{40}}{\sigma_{41}})=\eta_{39}^2 \sigma_{41}(={\nu_{39}^{3}} + {\eta_{39}}{\varepsilon_{40}})",1 0 1 0 0 0 0 0 0 0 0 0,141 2 9,0 0 1 0 0 0 0 0 0 0 0 0,A_{2}\eta40\sigma41,2.0
28,20,3,2.0,E C_{2}^{(1)},,,"[O2] Prop4.5(14), \ \Delta({\mu_{41}})\equiv{EC_{2}^{(1)}} \mod{E^{2}F_{2}} , \ {\varepsilon_{20}}{\bar{\kappa}_{28}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,150,0 0 0 1 0 0 0 0 0 0 0 0,E C_{2}^{(1)},2.0
