id,display,kinds,k,n,orders,latex,stable,stable_orders
88,\delta,0,24,3,2,\delta,,
89,\zeta̅',0,24,6,8,\bar{\zeta}{'},,
90,\sigma̅',0,24,6,2,\bar{\sigma}{'},,
91,\Delta(\lambda\eta31),1,24,6,2,\Delta(\lambda\eta_{31}),,
92,\Delta(\xi13\eta31),1,24,6,2,\Delta(\xi_{13}\eta_{31}),,
93,֮\varepsilon,0,24,10,4,\widetilde{\varepsilon},,
94,\Delta(\rho21),1,24,10,32,\Delta(\rho_{21}),,
95,\zeta*,1,24,14,8,\zeta^{*},,
96,\mu*',1,24,15,2,\mu^{*}{'},,
97,\mu*,0,24,16,2,\mu^{*},,
98,\Delta(\sigma37),1,24,18,16,\Delta(\sigma_{37}),,
99,\Delta(\nu45),1,24,22,4,\Delta(\nu_{45}),,
100,֮\eta',1,24,23,2,\widetilde{\eta}{'},,
101,֮\eta,1,24,24,2,\widetilde{\eta},,
102,\phi',1,25,3,4,\phi',,
103,"\mu3,",0,25,3,2,"\mu_{3,",,
104,\phi'',1,25,5,8,\phi'',,
105,\Delta(\kappa̅13),1,25,6,4,\Delta(\bar{\kappa}_{13}),,
106,A1,1,12,12,2,A_{1},,
107,\Delta(E A1\varepsilon25),1,25,6,2,\Delta(E A_{1}\varepsilon_{25}),,
108,A1^(1),1,20,12,2,A_{1}^{(1)},,
109,\Delta(E A1^(1)),1,25,6,2,\Delta(E A_{1}^{(1)}),,
110,\phi''',1,25,7,4,\phi''',,
111,K1,1,25,11,2,K_{1},,
112,D1,1,16,15,2,D_{1},,
113,B1,1,16,16,8,B_{1},,
114,D2,1,24,23,2,D_{2},,
115,B2,1,24,24,2,B_{2},,
116,\Delta(\iota53),1,25,26,,\Delta(\iota_{53}),,
117,\Delta(E A1\mu25),1,26,6,2,\Delta(E A_{1}\mu_{25}),,
118,\Delta(\lambda\nu31),1,26,6,4,\Delta(\lambda\nu_{31}),,
119,\tau'',1,26,10,8,\tau'',,
120,R1,1,26,10,4,R_{1},,
121,\tau''',1,26,11,8,\tau''',,
122,C1,1,12,11,2,C_{1},,
123,\tau^IV,1,26,12,64,\tau^{IV},,
124,M1^(1),1,26,16,8,M_{1}^{(1)},,
125,M2''',1,26,18,8,M'''_{2},,
126,M2'',1,26,19,8,M''_{2},,
127,\Delta(\sigma41),1,26,20,16,\Delta(\sigma_{41}),,
128,M2',1,26,21,8,M'_{2},,
129,M2,1,26,24,8,M_{2},,
130,\alpha2''',1,23,7,8,\alpha'''_{2},,
131,\mu3',1,27,3,4,\mu'_{3},,
132,"\zeta3,",0,27,5,8,"\zeta_{3,",,
133,\Delta(\rho13\sigma28),1,27,6,16,\Delta(\rho_{13}\sigma_{28}),,
134,\Delta(\nu*21),1,27,10,4,\Delta(\nu^{*}_{21}),,
135,C1^II,1,27,11,2,C_{1}^{II},,
136,C1^(1),1,20,11,2,C_{1}^{(1)},,
137,A1^II,1,27,12,2,A_{1}^{II},,
138,C2^I,1,27,19,2,C_{2}^{I},,
139,C2,1,20,19,2,C_{2},,
140,A2^I,1,27,20,2,A_{2}^{I},,
141,A2,1,20,20,2,A_{2},,
142,V2,1,27,22,4,V_{2},,
143,\Delta(\iota57),1,27,28,,\Delta(\iota_{57}),,
